YEAR,GDP_IC23,GDP_IC42,GDP_IC51,GDP_IC52,GDP_IC53,GDP_IC54,GDP_IC55,GDP_IC56,GDP_IC61,GDP_IC62,GDP_IC71,GDP_IC72,GDP_IC81,GDP_IC92,PIPC,CR01,CR02,CR03,CR04,CR05,CR06,CR07,CR08,CR09,MR_30Y,MR_30Y_06,LF_POP,LF_POP_NA,LF_POP_M,LF_POP_M_NA,LF_POP_F,LF_POP_F_NA,LF_NF_06,LF_NF_YA,LF_TOT_06,LF_TOT_YA,CPI_MW_06,CPI_MW_AN
2001,92,79,55,71,343,77,19,34,6,138,9,75,52,939,27566,100,1,13,14,72,1408,177,1160,71,0.07151,0.07318,63.7,0.98321089,70.9,0.976665392,57,0.990727666,,,,,,
2002,94,76,59,74,269,77,20,42,7,138,10,79,58,965,27793,134,0,35,13,86,1941,244,1624,73,0.06652,0.06723,62.7,0.983067736,69.7,0.976352139,56.3,0.990767827,,,,,,
2003,95,80,62,98,327,84,22,52,8,153,9,76,58,1033,28968,279,0,25,7,247,1738,215,1437,86,0.05965,0.05425,62.3,0.983482895,68.9,0.976885628,56.1,0.990994348,,,,,,
2004,113,92,70,88,312,94,22,55,8,167,12,80,61,1053,30901,129,0,22,13,94,1582,389,1112,81,0.05968,0.06415,62.3,0.983971505,69.2,0.977363301,56,0.991564702,,,,,,
2005,123,94,78,102,335,99,22,58,8,181,13,82,60,1099,31895,98,0,14,14,70,1537,465,1028,44,0.06006,0.05772,62.7,0.984498585,69.6,0.978229108,56.2,0.991727117,,,,,,
2006,129,106,77,97,358,106,23,67,9,190,14,85,60,1154,34289,147,0,24,17,106,1465,363,1061,41,0.06536,0.06825,63.1,0.984725848,70.1,0.978542212,56.6,0.99188644,45.2,47.05,44888,46578.58333,194.1,192.9
2007,136,135,93,109,405,115,29,73,9,192,15,84,61,1167,36081,200,2,18,12,168,1603,500,1041,62,0.06576,0.06736,63,0.985655303,69.8,0.979502645,56.6,0.992772008,45.4,47.475,44639,46713,199.263,200.227
2008,141,148,88,80,447,124,34,69,10,201,15,87,62,1229,43096,173,4,26,10,133,1636,346,1228,62,0.06616,0.06876,62.2,0.985085511,68.5,0.978705831,56.2,0.992368437,45.7,47.94166667,45198,47260.25,208.968,199.582
2009,132,156,83,86,423,124,37,60,12,212,23,90,65,1297,37932,177,0,23,15,139,1613,279,1285,49,0.05590,0.05922,59.3,0.98496547,64.5,0.978186211,54.4,0.992508458,45.1,47.125,45170,47020.91667,205.35,205.613
2010,138,162,86,80,472,128,42,67,11,207,22,91,63,1326,38134,177,1,24,10,142,1556,289,1217,50,0.05073,0.05130,58.5,0.9841368,63.7,0.977303398,53.6,0.991766228,45,46.81666667,49487,51104.25,207.886,209.27
